SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
1,Abner,br BRA,DF,Juventude,21-079,2004,5.5,1,0.18,1,0,0,0,0,0,1,0.18,1,0,0,0,0,0,
2,NicolÃ¡s Acevedo,uy URU,MF,DF,Bahia,26-084,1999,3.3,2,0.6,1,0,0,1,0,0,1,0.3,1,0,0,0,0,0
3,Adson,br BRA,FW,MF,Vasco da Gama,24-274,2000,2.3,10,4.29,9,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Braian Aguirre,ar ARG,DF,Internacional,24-344,2000,10.9,16,1.47,14,0,0,1,0,1,0,0,0,0,0,0,0,0,
5,Carlos Alberto,br BRA,FW,MF,Sport Recife,23-084,2002,3.7,9,2.45,8,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Yuri Alberto,br BRA,FW,Corinthians,24-111,2001,8.1,21,2.6,11,0,3,3,4,0,2,0.25,1,0,1,0,0,0,
7,JosÃ© Aldo,br BRA,MF,Mirassol,26-347,1998,5.2,16,3.08,12,0,3,0,0,1,1,0.19,1,0,0,0,0,0,
8,Caio Alexandre,br BRA,MF,Bahia,26-133,1999,8.2,20,2.43,19,1,0,0,0,0,1,0.12,1,0,0,0,0,0,
9,Matheus Alexandre,br BRA,DF,Sport Recife,26-091,1999,2,1,0.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10,Alisson,br BRA,MF,SÃ£o Paulo,32-012,1993,10.3,22,2.13,21,0,0,1,0,0,1,0.1,1,0,0,0,0,0,
11,Allan,br BRA,MF,Flamengo,28-126,1997,1.3,2,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Allan,br BRA,DF,MF,Palmeiras,21-079,2004,2,6,2.95,6,0,0,0,0,0,1,0.49,1,0,0,0,0,0
13,Allan,br BRA,MF,FW,Botafogo (RJ),34-180,1991,2.2,6,2.78,5,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Allanzinho,br BRA,MF,FW,Fortaleza,25-094,2000,1.2,3,2.43,2,0,0,0,1,0,1,0.81,1,0,0,0,0,0
15,JÃºnior Alonso,py PAR,DF,AtlÃ©tico Mineiro,32-148,1993,11.2,15,1.33,15,0,0,0,0,0,1,0.09,1,0,0,0,0,0,
16,Matheus Alves,br BRA,MF,FW,SÃ£o Paulo,20-124,2005,4.1,11,2.67,7,0,2,2,0,0,1,0.24,1,0,0,0,0,0
17,Francis Amuzu,be BEL,FW,GrÃªmio,25-318,1999,4.4,17,3.87,12,0,3,2,0,0,0,0,0,0,0,0,0,0,
18,Felipe Anderson,br BRA,DF,MF,Palmeiras,32-083,1993,4.9,15,3.08,10,1,0,2,0,2,2,0.41,0,0,0,2,0,0
19,Kervin Andrade,ve VEN,FW,MF,Fortaleza,20-085,2005,0.9,5,5.29,1,0,2,2,0,0,1,1.06,1,0,0,0,0,0
20,JosÃ© AndrÃ©s MartÃ­nez,ve VEN,MF,Corinthians,30-334,1994,4.8,7,1.47,7,0,0,0,0,0,1,0.21,1,0,0,0,0,0,
21,Wilker Ãngel,ve VEN,DF,Juventude,32-111,1993,4,3,0.75,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
22,Fabrizio Angileri,ar ARG,DF,Corinthians,31-114,1994,6.3,6,0.95,6,0,0,0,0,0,1,0.16,1,0,0,0,0,0,
23,Anthoni,br BRA,GK,Internacional,23-165,2002,11.5,1,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,Marcos AntÃ´nio,br BRA,MF,SÃ£o Paulo,25-024,2000,5.8,8,1.37,8,0,0,0,0,0,1,0.17,1,0,0,0,0,0,
25,Guilherme Arana,br BRA,DF,AtlÃ©tico Mineiro,28-084,1997,3,14,4.72,10,2,0,2,0,0,0,0,0,0,0,0,0,0,
26,Luiz AraÃºjo,br BRA,FW,MF,Flamengo,29-037,1996,5.4,13,2.4,7,5,0,1,0,0,1,0.18,1,0,0,0,0,0
27,Matheus AraÃºjo,br BRA,MF,FW,CearÃ¡,23-048,2002,2,3,1.47,2,0,0,1,0,0,1,0.49,1,0,0,0,0,0
28,Michel Araujo,uy URU,MF,Bahia,28-284,1996,1.7,6,3.51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,Alexander Aravena,cl CHI,MF,FW,GrÃªmio,22-306,2002,1.9,4,2.14,4,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Robert Arboleda,ec ECU,DF,SÃ£o Paulo,33-260,1991,7,1,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,Lucas Arcanjo,br BRA,GK,VitÃ³ria,26-335,1998,11,3,0.27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,Matias Arezo,uy URU,FW,GrÃªmio,22-230,2002,2.3,7,3.01,7,0,0,0,0,0,2,0.86,2,0,0,0,0,0,
33,Jhon Arias,co COL,FW,Fluminense,27-291,1997,11,60,5.46,39,10,5,1,4,1,8,0.73,6,0,2,0,0,0,
34,Santiago Arias,co COL,DF,Bahia,33-177,1992,1.3,4,3.03,3,0,0,1,0,0,0,0,0,0,0,0,0,0,
35,Arthur,br BRA,FW,Sport Recife,22-119,2003,2.2,9,4.05,7,0,0,1,1,0,0,0,0,0,0,0,0,0,
36,Artur,br BRA,FW,MF,Botafogo (RJ),27-144,1998,8.6,35,4.06,30,1,1,1,2,0,4,0.46,4,0,0,0,0,0
37,Rodrigo Atencio,ar ARG,FW,MF,Sport Recife,23-009,2002,2.2,13,5.85,10,1,1,1,0,0,0,0,0,0,0,0,0,0
38,Loide Augusto,ao ANG,FW,MF,Vasco da Gama,25-133,2000,2,6,3.07,5,0,1,0,0,0,0,0,0,0,0,0,0,0
