"Rk,Player,Nation,Pos,Squad,Age,Born,90s,""Gls"
1,Kaio Jorge,br BRA,FW,Cruzeiro,23-172,2002,10.1,11,42,18,42.9,4.17,1.79,0.26,0.61,16.4,0,0,1
2,Giorgian De Arrascaeta,uy URU,MF,Flamengo,31-044,1994,8.5,9,20,10,50.0,2.37,1.18,0.40,0.80,18.2,0,1,1
3,Pablo Vegetti,ar ARG,FW,Vasco da Gama,36-273,1988,11.1,8,36,11,30.6,3.25,0.99,0.22,0.73,10.4,0,0,0
4,Pedro Raul,br BRA,FW,Ceará,28-252,1996,11.1,6,32,10,31.3,2.88,0.90,0.16,0.50,15.4,0,1,1
5,Reinaldo,br BRA,DF,Mirassol,35-290,1989,10.1,6,12,5,41.7,1.19,0.49,0.17,0.40,31.0,2,4,5
6,Yuri Alberto,br BRA,FW,Corinthians,24-119,2001,8.1,5,23,8,34.8,2.85,0.99,0.17,0.50,16.2,0,1,1
7,Martin Braithwaite,dk DEN,FW,Grêmio,34-040,1991,9.1,4,18,8,44.4,1.98,0.88,0.11,0.25,16.1,1,2,2
8,Pedro,br BRA,FW,Flamengo,28-025,1997,3.4,4,13,9,69.2,3.79,2.62,0.23,0.33,16.4,0,1,2
9,Isidro Pitta,py PAR,FW,RB Bragantino,25-335,1999,3.5,4,10,7,70.0,2.87,02.01,0.40,0.57,16.2,0,0,0
"10,Luiz Araújo,br BRA,""FW,MF"",Flamengo,29-043,1996,6.4,3,17,8,47.1,2.65,1.25,0.18,0.38,21.0,0,0,0"
11,Michel Araujo,uy URU,MF,Bahia,28-290,1996,1.7,3,5,3,60.0,2.90,1.74,0.60,1.00,16.1,0,0,0
"12,Álvaro Barreal,ar ARG,""FW,MF"",Santos,24-332,2000,6.6,3,13,6,46.2,1.98,0.91,0.23,0.50,17.0,1,0,0"
"13,Enmerson Batalla,co COL,""FW,MF"",Juventude,24-015,2001,9.8,3,15,8,53.3,1.53,0.82,0.20,0.38,21.8,0,0,0"
"14,Ferreira,br BRA,""FW,MF"",São Paulo,27-196,1997,6.4,3,12,5,41.7,1.87,0.78,0.25,0.60,18.2,0,0,1"
15,Nuno Gonçalo Moreira,pt POR,FW,Vasco da Gama,26-029,1999,10.4,3,16,10,62.5,1.54,0.96,0.19,0.30,21.5,0,0,0
16,Igor Jesus,br BRA,FW,Botafogo (RJ),24-140,2001,9.7,3,35,14,40.0,3.60,1.44,0.09,0.21,14.5,0,0,0
17,Luciano Juba,br BRA,DF,Bahia,25-320,1999,11.9,3,11,5,45.5,0.92,0.42,0.27,0.60,22.1,3,0,0
18,Renato Kayser,br BRA,FW,Vitória,29-148,1996,5.1,3,14,6,42.9,2.74,1.17,0.21,0.50,13.3,0,0,0
19,Juan Martín Lucero,ar ARG,FW,Fortaleza,33-227,1991,8.4,3,15,6,40.0,1.78,0.71,0.20,0.50,14.3,0,0,1
20,Memphis,nl NED,FW,Corinthians,31-152,1994,8.0,3,23,9,39.1,2.87,1.13,0.13,0.33,18.2,2,0,1
21,Rony,br BRA,FW,Atlético Mineiro,30-065,1995,11.2,3,35,15,42.9,3.12,1.34,0.09,0.20,17.2,0,0,0
"22,Eduardo Sasha,br BRA,""FW,MF"",RB Bragantino,33-141,1992,10.3,3,26,10,38.5,2.53,0.97,0.08,0.20,14.4,0,1,1"
23,Kevin Serna,co COL,FW,Fluminense,27-210,1997,4.0,3,8,5,62.5,1.98,1.24,0.38,0.60,15.8,0,0,0
24,André Silva,br BRA,FW,São Paulo,28-042,1997,9.7,3,22,4,18.2,2.27,0.41,0.09,0.50,16.3,0,1,1
"25,Artur,br BRA,""FW,MF"",Botafogo (RJ),27-150,1998,9.5,2,17,6,35.3,1.78,0.63,0.12,0.33,20.5,0,0,0"
"26,Gabriel Barbosa,br BRA,""FW,MF"",Cruzeiro,28-319,1996,3.6,2,9,5,55.6,2.49,1.38,0.22,0.40,23.2,0,0,1"
"27,Chrystian Barletta,br BRA,""FW,MF"",Sport Recife,24-010,2001,9.5,2,28,15,53.6,2.95,1.58,0.07,0.13,20.0,1,0,0"
28,Daniel Borges,br BRA,DF,Mirassol,32-114,1993,2.7,2,3,2,66.7,1.11,0.74,0.67,1.00,22.4,0,0,0
29,Marllon Borges,br BRA,DF,Ceará,33-090,1992,12.0,2,5,2,40.0,0.42,0.17,0.40,1.00,11.1,0,0,0
30,Rafael Borré,co COL,FW,Internacional,29-303,1995,4.5,2,10,3,30.0,2.22,0.67,0.20,0.67,12.3,0,0,0
31,Cacá,br BRA,DF,Corinthians,26-081,1999,8.7,2,6,3,50.0,0.69,0.35,0.33,0.67,12.9,0,0,0
32,Edson Carioca,br BRA,FW,Mirassol,28-011,1997,6.2,2,19,6,31.6,03.05,0.96,0.11,0.33,16.8,0,0,0
"33,Ryan Francisco,br BRA,""FW,MF"",São Paulo,18-236,2006,2.3,2,4,2,50.0,1.76,0.88,0.50,1.00,19.7,0,0,0"
"34,Gabriel,br BRA,""MF,FW"",Mirassol,35-190,1990,5.7,2,7,3,42.9,1.24,0.53,0.29,0.67,15.5,0,0,0"
35,Victor Gabriel,br BRA,DF,Internacional,21-078,2004,4.0,2,5,3,60.0,1.25,0.75,0.40,0.67,10.3,0,0,0
36,Antonio Galeano,py PAR,FW,Ceará,25-115,2000,11.0,2,14,6,42.9,1.27,0.55,0.14,0.33,22.1,0,0,0
37,Gilberto,br BRA,FW,Juventude,36-040,1989,5.1,2,9,4,44.4,1.75,0.78,0.22,0.50,21.2,0,0,0
38,Guilherme,br BRA,FW,Santos,30-093,1995,8.5,2,22,7,31.8,2.58,0.82,0.09,0.29,18.9,1,0,0
39,Hulk,br BRA,FW,Atlético Mineiro,38-355,1986,11.1,2,35,12,34.3,3.15,01.08,0.03,0.08,25.9,14,1,1
40,Willian José,br BRA,FW,Bahia,33-234,1991,6.0,2,17,7,41.2,2.85,1.17,0.06,0.14,17.6,4,1,1
"41,Jhonatan Jowjow,br BRA,""MF,FW"",RB Bragantino,22-309,2002,11.5,2,13,4,30.8,1.13,0.35,0.15,0.50,23.7,4,0,0"
42,Ignacio Laquintana,uy URU,FW,RB Bragantino,26-164,1999,2.5,2,5,2,40.0,2.00,0.80,0.40,1.00,18.8,0,0,0
43,José López,ar ARG,FW,Palmeiras,24-221,2000,5.8,2,20,4,20.0,3.47,0.69,0.05,0.25,17.3,0,1,1
"44,Matheusinho,br BRA,""MF,FW"",Vitória,27-270,1997,9.2,2,12,8,66.7,1.31,0.87,0.17,0.25,18.0,0,0,0"
45,Cristian Olivera,uy URU,FW,Grêmio,23-089,2002,6.9,2,11,5,45.5,1.60,0.73,0.18,0.40,18.3,0,0,0
"46,Alan Patrick,br BRA,""MF,FW"",Internacional,34-063,1991,8.1,2,13,5,38.5,1.60,0.61,0.08,0.20,22.0,4,1,1"
47,Matheus Pereira,br BRA,MF,Cruzeiro,29-071,1996,9.6,2,26,12,46.2,2.71,1.25,0.08,0.17,23.1,5,0,0
"48,Yago Pikachu,br BRA,""FW,DF"",Fortaleza,33-040,1992,8.5,2,11,2,18.2,1.30,0.24,0.00,0.00,21.3,1,2,2"
49,Joaquín Piquerez,uy URU,DF,Palmeiras,26-325,1998,10.5,2,13,3,23.1,1.24,0.29,0.08,0.33,28.9,0,1,2
"50,Erick Pulga,br BRA,""FW,MF"",Bahia,24-286,2000,10.5,2,27,6,22.2,2.56,0.57,0.07,0.33,16.4,0,0,0"
51,Vitor Roque,br BRA,FW,Palmeiras,20-137,2005,5.6,2,13,4,30.8,2.31,0.71,0.15,0.50,15.4,0,0,0
"52,Júnior Santos,br BRA,""FW,MF"",Atlético Mineiro,30-277,1994,1.8,2,9,4,44.4,4.91,2.18,0.22,0.50,13.2,0,0,0"
"53,Jefferson Savarino,ve VEN,""MF,FW"",Botafogo (RJ),28-246,1996,7.2,2,18,7,38.9,2.49,0.97,0.11,0.29,22.3,1,0,0"
"54,Gabriel Taliari,br BRA,""FW,MF"",Juventude,28-093,1997,6.8,2,17,7,41.2,2.49,01.03,0.12,0.29,23.7,0,0,0"
55,Alex Telles,br BRA,DF,Botafogo (RJ),32-212,1992,7.2,2,11,3,27.3,1.53,0.42,0.09,0.33,28.1,5,1,1
"56,Facundo Torres,uy URU,""MF,FW"",Palmeiras,25-093,2000,7.0,2,8,4,50.0,1.14,0.57,0.25,0.50,13.6,0,0,0"
57,Rayan Vitor,br BRA,FW,Vasco da Gama,18-346,2006,9.7,2,27,12,44.4,2.78,1.23,0.07,0.17,21.4,1,0,0
58,Braian Aguirre,ar ARG,DF,Internacional,24-352,2000,11.9,1,11,2,18.2,0.93,0.17,0.09,0.50,29.6,0,0,0
"59,Allan,br BRA,""DF,MF"",Palmeiras,21-087,2004,2.0,1,2,1,50.0,0.98,0.49,0.50,1.00,21.4,0,0,0"
60,Francis Amuzu,be BEL,FW,Grêmio,25-326,1999,4.9,1,15,6,40.0,03.06,1.22,0.07,0.17,22.5,0,0,0
"61,Matheus Araújo,br BRA,""MF,FW"",Ceará,23-054,2002,2.0,1,3,2,66.7,1.47,0.98,0.33,0.50,21.8,0,0,0"
"62,Alexander Aravena,cl CHI,""FW,MF"",Grêmio,22-312,2002,2.4,1,3,1,33.3,1.27,0.42,0.33,1.00,10.1,0,0,0"
63,Robert Arboleda,ec ECU,DF,São Paulo,33-266,1991,8.0,1,5,1,20.0,0.62,0.12,0.20,1.00,8.6,0,0,0
64,Matias Arezo,uy URU,FW,Grêmio,22-236,2002,3.0,1,9,4,44.4,03.02,1.34,0.11,0.25,18.4,0,0,0
65,Jhon Arias,co COL,FW,Fluminense,27-297,1997,11.0,1,14,4,28.6,1.27,0.36,0.00,0.00,24.8,3,1,1
66,Aylon,br BRA,FW,Ceará,33-099,1992,2.5,1,5,2,40.0,02.03,0.81,0.20,0.50,15.3,0,0,0
67,Matheus Babi,br BRA,FW,Juventude,27-362,1997,1.4,1,3,1,33.3,2.20,0.73,0.33,1.00,7.4,0,0,0
"68,Diogo Barbosa,br BRA,""DF,FW"",Fortaleza,32-332,1992,3.9,1,2,1,50.0,0.51,0.25,0.50,1.00,9.8,0,0,0"
"69,Paulo Baya,br BRA,""MF,FW"",Fluminense,25-354,1999,0.4,1,2,2,100.0,4.74,4.74,0.50,0.50,21.8,0,0,0"
"70,Thiago Borbas,uy URU,""FW,MF"",RB Bragantino,23-099,2002,1.7,1,4,2,50.0,2.34,1.17,0.25,0.50,12.9,0,0,0"
"71,Lucas Braga,br BRA,""FW,MF"",Vitória,28-247,1996,3.6,1,4,1,25.0,1.10,0.27,0.25,1.00,15.3,0,0,0"
"72,Breno,br BRA,""FW,MF"",Fortaleza,29-172,1996,5.9,1,16,5,31.3,2.71,0.85,0.06,0.20,21.0,0,0,0"
73,Breno,br BRA,MF,Corinthians,20-145,2005,9.1,1,5,2,40.0,0.55,0.22,0.20,0.50,25.6,0,0,0
74,Arthur Cabral,br BRA,FW,Botafogo (RJ),27-081,1998,0.8,1,4,2,50.0,4.86,2.43,0.25,0.50,21.5,0,0,0
75,Calebe,br BRA,MF,Fortaleza,25-076,2000,2.5,1,5,2,40.0,1.97,0.79,0.20,0.50,17.6,1,0,0
76,Germán Cano,ar ARG,FW,Fluminense,37-163,1988,5.3,1,12,2,16.7,2.28,0.38,0.08,0.50,17.5,0,0,0
77,Agustín Canobbio,uy URU,FW,Fluminense,26-287,1998,5.7,1,11,3,27.3,1.93,0.53,0.09,0.33,16.5,1,0,0
